scientificName,country,stateProvince,municipality,locality,decimalLatitude,decimalLongitude
Mepraia gajardoi,Chile,Antofagasta ,Antofagasta ,Antofagasta ,-23.7,-70.4
Mepraia gajardoi,Chile,Antofagasta ,Antofagasta ,Taltal ,-24.621111,-70.559444
Mepraia gajardoi,Chile,Antofagasta ,Antofagasta ,Taltal ,-25.0097,-70.4658
Mepraia gajardoi,Chile,Antofagasta ,Tocopilla ,Tocopilla ,-22.085798,-70.193006
Mepraia gajardoi,Chile,Arica y Parinacota,Arica ,Arica ,-18.7625,-70.342778
Mepraia gajardoi,Chile,Arica y Parinacota,Arica ,Arica ,-18.479722,-70.324167
Mepraia gajardoi,Chile,Arica y Parinacota,Arica ,Arica ,-18.7625,-70.342778
Mepraia gajardoi,Chile,Arica y Parinacota,Arica ,Camarones ,-19.204444,-70.268889
Mepraia gajardoi,Chile,Tarapac  ,Arica ,Arica ,-18.5,-70.3
Mepraia gajardoi,Chile,Tarapac  ,Iquique ,Caleta Lobos,-21.115556,-70.125
Mepraia gajardoi,Chile,Tarapac  ,Iquique ,Iquique ,-20.230703,-70.135669
Mepraia gajardoi,Chile,Tarapac  ,Iquique ,Iquique ,-21.001667,-70.164444
Mepraia parapatrica,Chile,Antofagasta ,Antofagasta ,Taltal ,-25.216111,-70.436667
Mepraia parapatrica,Chile,Antofagasta ,Antofagasta ,Taltal ,-25.205556,-70.435278
Mepraia parapatrica,Chile,Antofagasta ,Antofagasta ,Taltal ,-24.614167,-70.558611
Mepraia parapatrica,Chile,Atacama,,Caleta Zenteno,-25.852222,-70.81
Mepraia parapatrica,Chile,Atacama ,Cha¤aral ,Chanaral ,-26.169444,-70.6675
Mepraia parapatrica,Chile,Atacama ,Cha¤aral ,Chanaral ,-26.155556,-70.685833
Mepraia spinolai,Chile,Atacama ,Cha¤aral ,Chanaral ,-26.1438,-70.6623
Mepraia spinolai,Chile,Atacama ,Cha¤aral ,Cha¤aral ,-26.345005,-70.624193
Mepraia spinolai,Chile,Atacama ,Cha¤aral ,Diego de Almagro ,-26.750278,-69.901667
Mepraia spinolai,Chile,Atacama ,Huasco ,Huasco ,-28.147778,-71.075556
Mepraia spinolai,Chile,Atacama ,Huasco ,Vallenar ,-28.7225,-70.517222
Mepraia spinolai,Chile,Coquimbo ,Choapa ,Illapel ,-31.6,-71.1
Mepraia spinolai,Chile,Coquimbo ,Choapa ,Illapel ,-31.507778,-71.105278
Mepraia spinolai,Chile,Coquimbo ,Elqui ,La Higuera ,-29.260776,-70.731762
Mepraia spinolai,Chile,Coquimbo ,Elqui ,Vicu¤a,-30.0319,-70.7081
Mepraia spinolai,Chile,Coquimbo ,Elqui ,Vicu¤a,-30.019,-70.71519
Mepraia spinolai,Chile,Coquimbo ,Limar¡ ,Combarbala ,-31.2,-71
Mepraia spinolai,Chile,Coquimbo ,Limar¡ ,Combarbala ,-31.179097,-71.005096
Mepraia spinolai,Chile,Coquimbo ,Limar¡ ,Combarbala ,-31.17901,-71.004824
Mepraia spinolai,Chile,Coquimbo ,Limar¡ ,Monte Patria ,-30.854444,-70.6975
Mepraia spinolai,Chile,Coquimbo ,Limar¡ ,Ovalle ,-30.741667,-71.701389
Mepraia spinolai,Chile,Regi¢n Metropolitana de Santiago ,Chacabuco ,Colina ,-33.2,-70.8
Mepraia spinolai,Chile,Regi¢n Metropolitana de Santiago ,Chacabuco ,Colina ,-33.195205,-70.670891
Mepraia spinolai,Chile,Regi¢n Metropolitana de Santiago ,Chacabuco ,El Sauce,-33.105278,-70.931389
Mepraia spinolai,Chile,Valpara¡so ,Quillota ,La Cruz ,-32.6858,-71.212
Mepraia spinolai,Chile,Valpara¡so ,San Felipe de Aconcagua ,San Felipe,-32.7,-70.7
Mepraia spinolai,Chile,Valpara¡so ,San Felipe de Aconcagua ,San Felipe,-32.626111,-70.716667
Mepraia spinolai,Chile,Valpara¡so ,San Felipe de Aconcagua ,San Felipe,-32.626111,-70.716667
Mepraia spinolai,Chile,Valpara¡so ,San Felipe de Aconcagua ,San Felipe,-32.626111,-70.716667
Mepraia spinolai,Chile,Valpara¡so ,San Felipe de Aconcagua ,San Felipe,-32.626111,-70.716667
Mepraia spinolai,Chile,Valpara¡so ,San Felipe de Aconcagua ,San Felipe,-32.626111,-70.716667
Mepraia spinolai,Chile,Valpara¡so ,San Felipe de Aconcagua ,San Felipe,-32.626111,-70.716667
Mepraia spinolai,Chile,Valpara¡so ,San Felipe de Aconcagua ,San Felipe,-32.626111,-70.716667
Mepraia spinolai,Chile,Valpara¡so ,San Felipe de Aconcagua ,San Felipe,-32.626111,-70.716667
Mepraia spinolai,Chile,Valpara¡so ,San Felipe de Aconcagua ,San Felipe,-32.626111,-70.716667
Mepraia spinolai,Chile,Valpara¡so ,San Felipe de Aconcagua ,San Felipe,-32.626111,-70.716667
Panstrongylus diasi,Brazil,Esp¡rito Santo ,Baixo Guandu ,Vila Nova de Bananal ,-19.683,-41.133
Panstrongylus diasi,Brazil,Esp¡rito Santo ,Barra de SÆo Francisco ,Barra de SÆo Francisco ,-18.75,-40.867
Panstrongylus diasi,Brazil,MaranhÆo,SÆo Luis ,SÆo Luis ,-2.597735,-44.209979
Panstrongylus diasi,Brazil,Minas Gerais ,Bambu¡ ,Bambu¡ ,-20.267,-46.033
Panstrongylus diasi,Brazil,Minas Gerais ,Itamb‚ do Mato Dentro ,Itambacuri ,-17.967,-41.767
Panstrongylus diasi,Brazil,Minas Gerais ,Jaboticatubas ,Jaboticatubas ,-19.417,-43.583
Panstrongylus diasi,Brazil,Minas Gerais ,Lagoa Santa ,Lagoa Santa ,-19.633,-43.883
Panstrongylus diasi,Brazil,Minas Gerais ,Lavras ,Lavras ,-21.248486,-45.001375
Panstrongylus diasi,Brazil,SÆo Paulo ,Campinas ,Souzas ,-22.867,-46.983
Panstrongylus diasi,Brazil,SÆo Paulo ,SÆo Jos‚ do Rio Pardo ,SÆo Jos‚ do Rio Pardo ,-21.595769,-46.887744
Panstrongylus guentheri,Argentina,Chaco,Doce de Octubre ,El Palmar,-27.137222,-61.573917
Panstrongylus guentheri,Argentina,Chaco,Doce de Octubre ,El Palmar,-27.09322,-61.51937
Panstrongylus guentheri,Argentina,Chaco,Doce de Octubre ,El Palmar,-27.09322,-61.51937
Panstrongylus guentheri,Argentina,Chaco,Doce de Octubre ,El Palmar,-27.09322,-61.51937
Panstrongylus guentheri,Argentina,Chaco,Doce de Octubre ,El Palmar,-27.13791,-61.57427
Panstrongylus guentheri,Argentina,Chaco,Doce de Octubre ,El Palmar,-27.08948,-61.53319
Panstrongylus guentheri,Argentina,Chaco,Doce de Octubre ,El Palmar,-27.08948,-61.53319
Panstrongylus guentheri,Argentina,Chaco,Doce de Octubre ,El Palmar,-27.13722,-61.57392
Panstrongylus guentheri,Argentina,Chaco,Doce de Octubre ,El Palmar,-27.13722,-61.57392
Panstrongylus guentheri,Argentina,Chaco,Doce de Octubre ,El Palmar,-27.13722,-61.57392
Panstrongylus guentheri,Argentina,Chaco,Doce de Octubre ,El Palmar,-27.08844,-61.52975
Panstrongylus guentheri,Argentina,Chaco,Doce de Octubre ,El Palmar,-27.08948,-61.53319
Panstrongylus guentheri,Argentina,Chaco,Doce de Octubre ,El Palmar,-27.14556,-61.58103
Panstrongylus guentheri,Argentina,Chaco,Doce de Octubre ,El Palmar,-27.13512,-61.56859
Panstrongylus guentheri,Argentina,Chaco,Doce de Octubre ,El Palmar,-27.08948,-61.53319
Panstrongylus guentheri,Argentina,Chaco,Doce de Octubre ,El Palmar,-27.086028,-61.528694
Panstrongylus guentheri,Argentina,San Luis,Belgrano ,Parque Nacional Sierra de las Quijadas,-32.46914,-66.96087
Panstrongylus guentheri,Brazil,Mato Grosso do Sul ,Bodoquena ,Bodoquena ,-20.550833,-56.668333
Panstrongylus guentheri,Brazil,Mato Grosso do Sul ,ItaporÆ ,Itapor ,-22.078889,-54.789444
